Município,Área (km²),"Densidade demográfica, 2000",Distância à capital (km),"Esperança de vida ao nascer, 2000","Mortalidade até um ano de idade, 2000","Taxa de fecundidade total, 2000","Percentual de pessoas de 25 anos ou mais analfabetas, 2000","Renda per Capita, 2000","Índice de Gini, 2000","Intensidade da indigência, 2000","Intensidade da pobreza, 2000","Índice de Desenvolvimento Humano Municipal, 2000","Taxa bruta de freqüência à escola, 2000","Taxa de alfabetização, 2000","Média de anos de estudo das pessoas de 25 anos ou mais de idade, 2000","População de 25 anos ou mais de idade, 1991","População de 25 anos ou mais de idade, 2000","População de 65 anos ou mais de idade, 1991","População de 65 anos ou mais de idade, 2000","População total, 1991","População total, 2000","População urbana, 2000","População rural, 2000",Estado,Grupo
Caeté (MG),542.7,66.8,30.70115965,71.7,23.77,2.86,10.31,259.17,0.6,40.5,38.66,0.789,83.37,91.54,5.85,15828,19229,1668,2426,33251,36299,31656,4643,MG,Grupo 1
Caetés (PE),324.2,74.3,207.4855717,58.18,94.11,3.53,58.47,55.78,0.55,57.04,61.07,0.521,70.39,49.68,1.97,8013,10185,1324,1833,20626,24137,5508,18629,PE,Grupo 1
Caetité (BA),2366.4,19.1,445.3019072,68.53,31.05,2.87,39.25,108.25,0.68,58.72,60.56,0.673,82.96,69.29,3.36,16811,21160,2620,3332,40380,45090,23459,21631,BA,Grupo 1
Caém (BA),499.5,25.1,295.5659832,59.07,65.59,2.58,36.64,65.82,0.58,58.55,64.15,0.58,75.65,67.23,3.0,6289,5639,828,846,17116,12563,3377,9186,BA,Grupo 1
Cafarnaum (BA),1075.0,14.7,350.9566199,57.4,73.24,3.28,37.58,85.82,0.59,52.08,56.87,0.598,80.3,70.53,2.81,6265,6702,749,886,17415,16059,9209,6850,BA,Grupo 1
Cafeara (PR),180.3,13.8,383.5494933,66.17,27.82,2.17,30.36,171.66,0.47,45.4,32.37,0.699,77.54,77.94,3.9,1140,1363,131,188,2398,2485,1781,704,PR,Grupo 1
Cafelândia (SP),922.2,17.1,361.3378183,71.84,14.72,2.49,15.58,313.77,0.56,43.28,28.28,0.788,77.0,89.09,5.7,7696,8802,1109,1432,15257,15793,13056,2737,SP,Grupo 1
Cafelândia (PR),256.0,43.5,417.2944402,69.49,19.76,2.27,8.32,263.55,0.53,45.86,39.25,0.787,90.98,91.99,5.98,3547,5671,229,426,8093,11143,8551,2592,PR,Grupo 1
Cafezal do Sul (PR),434.1,10.7,460.4831525,69.44,19.89,2.44,27.41,182.06,0.58,32.39,36.03,0.73,82.39,79.99,3.59,2684,2635,314,442,5711,4648,3069,1579,PR,Grupo 1
Caiabu (SP),252.6,16.1,501.198169,76.14,7.97,2.2,20.84,187.23,0.48,52.66,38.7,0.779,84.48,83.64,4.34,1883,2300,225,339,3854,4077,3115,962,SP,Grupo 1
Caiana (MG),107.3,40.7,233.1665713,68.4,33.72,2.23,24.96,187.94,0.54,46.39,37.73,0.71,68.92,79.68,3.77,2229,2306,256,325,4583,4367,1751,2616,MG,Grupo 1
Caiapônia (GO),8682.0,1.7,273.6218357,71.33,18.25,2.57,22.9,187.64,0.56,47.5,40.62,0.735,74.94,80.4,4.23,6504,7943,601,850,13915,14673,10819,3854,GO,Grupo 1
Caibaté (RS),374.6,19.3,383.3243383,72.94,15.08,2.44,8.63,196.47,0.54,43.17,47.04,0.784,85.94,91.92,5.07,3982,4235,474,614,7830,7243,2944,4299,RS,Grupo 1
Caibi (SC),178.20000000000002,35.6,467.4738166,76.29,11.01,2.71,12.42,283.37,0.56,48.7,42.56,0.821,87.93,90.01,4.83,3482,3455,324,451,7428,6354,3060,3294,SC,Grupo 1
Caicó (RN),1220.4,46.6,221.3270088,73.32,22.51,2.31,24.47,206.64,0.58,45.46,38.34,0.756,82.25,79.03,5.38,23712,29936,3550,4164,50640,57002,50624,6378,RN,Grupo 1
Caiçara (PB),129.4,56.5,86.84223604,59.41,64.06,2.83,49.27,72.5,0.55,52.15,56.31,0.576,81.59,58.91,2.89,2939,3425,593,668,7170,7325,4669,2656,PB,Grupo 1
Caiçara (RS),189.4,29.5,374.2702359,75.24,10.9,2.92,10.55,213.83,0.56,36.24,41.01,0.794,79.4,91.98,4.95,2986,3117,306,423,6202,5580,1489,4091,RS,Grupo 1
Caiçara do Norte (RN),297.2,19.6,113.8767923,65.48,48.25,2.9,38.99,76.3,0.48,42.07,50.13,0.631,83.82,66.61,3.04,2472,2538,408,380,6318,5842,5537,305,RN,Grupo 1
Caiçara do Rio do Vento (RN),282.7,10.1,87.31497684,62.72,59.46,2.55,39.9,84.66,0.6,59.1,58.74,0.619,81.0,66.47,3.2,1077,1317,201,225,2616,2867,1922,945,RN,Grupo 1
Caieiras (SP),96.1,737.2,23.07825989,72.13,14.2,2.67,7.03,320.93,0.52,69.03,49.01,0.813,87.24,93.9,6.27,18317,36042,1360,2663,39069,71221,68481,2740,SP,Grupo 1
Cairu (BA),452.9,25.2,81.31260245,66.65,36.81,3.22,34.03,85.31,0.52,47.78,51.29,0.639,69.67,71.41,3.41,5827,4899,454,511,15217,11410,6981,4429,BA,Grupo 1
Caiuá (SP),536.9,7.8,581.7863527,65.41,28.96,2.78,20.14,167.75,0.51,48.13,42.59,0.71,81.88,83.34,4.42,1513,2252,188,296,3341,4192,1769,2423,SP,Grupo 1
Cajamar (SP),128.7,390.4,32.53853717,69.21,19.88,2.55,10.22,297.67,0.58,66.98,51.65,0.786,86.55,91.25,5.65,13435,24742,746,1691,30757,50761,48084,2677,SP,Grupo 1
Cajapió (MA),934.5,10.3,56.79919602,61.06,57.11,3.42,44.69,44.19,0.53,54.22,64.92,0.562,75.74,64.05,2.85,2761,3622,371,518,7632,9622,2853,6769,MA,Grupo 1
Cajari (MA),421.4,31.8,117.8936216,58.66,67.42,4.33,22.2,46.25,0.46,45.23,58.47,0.589,77.19,80.58,2.88,4981,4940,671,718,14180,13405,3753,9652,MA,Grupo 1
Cajati (SP),455.9,63.6,200.4015956,73.85,11.32,3.6,19.69,170.53,0.56,60.51,48.7,0.751,69.85,86.12,4.74,9718,13180,892,1439,23822,29227,20996,8231,SP,Grupo 1
Cajazeiras (PB),569.9,96.0,408.7309902,66.5,37.3,2.35,32.56,148.4,0.62,50.03,49.35,0.685,80.96,72.75,4.42,22941,27132,3545,4278,51273,54715,41964,12751,PB,Grupo 1
Cajazeiras do Piauí (PI),556.8000000000001,4.8,191.7785696,59.13,65.31,2.84,49.85,70.06,0.61,56.54,61.35,0.571,81.99,58.51,2.04,911,1146,113,172,2461,2667,866,1801,PI,Grupo 1
Cajazeirinhas (PB),287.2,9.9,325.0122289,57.59,72.35,2.24,52.33,64.28,0.55,53.97,59.99,0.543,75.15,55.35,2.04,1261,1284,189,196,3306,2848,737,2111,PB,Grupo 1
Cajobi (SP),177.3,51.6,371.2814875,72.36,13.79,2.4,12.44,221.0,0.52,62.43,42.5,0.775,79.93,89.36,4.75,4323,5109,458,685,8756,9174,8356,818,SP,Grupo 1
Cajueiro (AL),124.8,152.1,54.78878154,60.49,62.14,3.71,55.6,63.15,0.51,48.46,55.42,0.547,69.08,53.28,2.39,6582,7598,667,946,18597,18975,14048,4927,AL,Grupo 1
Cajueiro da Praia (PI),283.0,21.6,289.9426592,58.64,67.49,4.15,46.21,63.56,0.6,54.54,61.67,0.563,74.69,62.08,2.41,2044,2595,276,399,5575,6122,2201,3921,PI,Grupo 1
Cajuri (MG),83.60000000000001,49.9,162.1806901,66.12,41.7,2.43,21.8,140.81,0.56,31.73,42.41,0.694,72.66,83.54,4.18,1741,2117,263,303,3721,4190,2287,1903,MG,Grupo 1
Cajuru (SP),662.5,31.4,261.7298377,71.36,15.61,2.19,10.77,280.9,0.53,58.33,33.86,0.783,77.79,90.48,5.57,9008,10823,1145,1542,18547,20777,18401,2376,SP,Grupo 1
Calçado (PE),56.0,209.1,177.0784192,61.34,76.17,3.58,48.6,73.72,0.57,56.43,62.41,0.582,77.38,58.62,2.76,3990,5244,730,869,9790,11709,3265,8444,PE,Grupo 1
Calçoene (AP),14333.0,0.5,273.5530031,63.02,47.39,5.7,20.41,136.15,0.62,50.24,56.11,0.688,83.67,83.57,4.55,1733,2512,129,184,5177,6730,5271,1459,AP,Grupo 1
Caldas (MG),715.6,17.8,344.1846233,74.57,16.44,2.31,13.22,263.77,0.55,44.81,35.63,0.782,68.9,88.15,4.52,6712,7663,931,1184,12372,12766,7232,5534,MG,Grupo 1
Caldas Brandão (PB),67.0,76.9,51.0704584,58.49,68.17,3.58,52.56,73.5,0.51,49.86,53.37,0.548,70.39,54.21,2.44,2175,2440,394,423,5273,5155,2695,2460,PB,Grupo 1
Caldas Novas (GO),1594.7,31.1,135.8241168,69.92,21.55,2.39,10.02,351.82,0.61,62.09,38.53,0.802,87.95,91.71,5.98,10946,24839,785,1867,24159,49660,47308,2352,GO,Grupo 1
Caldazinha (GO),312.8,9.2,27.10216904,68.64,24.8,2.54,16.21,219.01,0.55,38.62,37.67,0.742,74.97,86.66,4.3,973,1487,85,160,2031,2859,1194,1665,GO,Grupo 1
Caldeirão Grande (BA),497.9,22.9,291.4354867,59.07,65.59,2.7,39.08,60.96,0.64,61.57,65.0,0.588,85.97,67.55,2.48,5916,4804,811,760,15815,11395,4081,7314,BA,Grupo 1
Caldeirão Grande do Piauí (PI),453.9,12.1,345.4170006,60.26,60.44,3.05,58.46,68.22,0.68,68.12,67.26,0.557,78.28,51.48,1.62,2152,2426,304,356,5579,5481,1311,4170,PI,Grupo 1
Califórnia (PR),137.70000000000002,55.8,288.6511629,68.45,22.12,2.23,17.04,209.26,0.52,41.1,34.52,0.745,81.07,86.22,4.64,3548,4225,420,516,7329,7678,5664,2014,PR,Grupo 1
Calmon (SC),634.9,5.4,275.3165368,69.63,26.99,2.76,23.01,114.97,0.53,42.99,47.44,0.7,73.47,81.77,3.67,1213,1460,85,114,3154,3467,1392,2075,SC,Grupo 1
Calumbi (PE),218.6,32.4,359.9364301,61.78,73.83,2.89,48.58,67.29,0.6,60.66,63.28,0.58,76.41,59.54,2.59,2627,3120,431,499,6878,7079,1914,5165,PE,Grupo 1
Camacan (BA),635.2,48.9,291.981805,61.66,54.66,2.73,36.87,106.97,0.61,52.32,54.49,0.631,77.15,70.88,3.39,13488,12990,1400,1880,37023,31055,24282,6773,BA,Grupo 1
Camacho (MG),222.8,15.9,154.0889604,70.38,27.52,2.26,26.09,121.62,0.47,36.81,39.59,0.698,71.9,78.69,3.47,1712,1824,203,237,3814,3533,1302,2231,MG,Grupo 1
Camaçari (BA),762.7,211.3,36.47926037,67.45,34.32,2.23,15.45,163.15,0.6,52.42,47.57,0.734,86.55,87.65,5.48,42229,70425,2297,4320,113639,161727,154402,7325,BA,Grupo 7
Camalaú (PB),672.4,8.2,232.4274737,62.13,52.82,3.16,46.14,73.48,0.52,52.59,57.66,0.581,70.63,59.88,2.64,1960,2749,412,542,4377,5516,2357,3159,PB,Grupo 1
Camamu (BA),888.5,37.8,125.7802119,66.65,36.81,3.95,44.31,79.1,0.62,49.15,59.54,0.624,77.96,62.3,2.57,11450,13114,1196,1607,32850,33661,12107,21554,BA,Grupo 1
Camanducaia (MG),528.9,38.8,397.4103792,74.66,16.23,2.44,19.36,256.03,0.52,59.51,38.43,0.775,69.66,85.15,4.26,8183,10824,832,1102,16927,20537,14262,6275,MG,Grupo 1
Camapuã (MS),10791.1,1.5,119.2560342,70.13,25.14,2.57,19.44,220.08,0.58,57.76,42.12,0.761,81.92,87.63,4.28,6912,8349,521,784,15501,16446,10613,5833,MS,Grupo 1
Camaquã (RS),1683.2,35.9,106.6337993,69.45,22.68,2.13,11.93,267.05,0.56,50.36,40.63,0.768,78.05,89.68,5.16,27958,33653,3454,4651,54223,60383,47069,13314,RS,Grupo 1
Camaragibe (PE),48.3,2663.1,11.56314305,70.66,34.81,2.18,19.23,173.44,0.58,47.09,44.97,0.747,85.48,84.26,5.52,43755,64943,3807,5972,101927,128702,128702,0,PE,Grupo 7
Camargo (RS),137.8,18.1,186.2448673,74.63,11.94,2.07,11.23,338.48,0.53,53.88,38.41,0.814,82.06,89.65,4.79,1373,1491,170,206,2526,2498,880,1618,RS,Grupo 1
Cambará (PR),361.3,62.9,276.848903,70.32,18.0,2.26,14.3,246.63,0.52,21.37,29.81,0.769,81.98,88.17,5.51,10817,12688,1321,1798,21343,22740,20022,2718,PR,Grupo 1
Cambará do Sul (RS),1159.1,5.9,151.597665,68.96,23.87,3.21,11.64,232.5,0.52,43.11,37.65,0.76,78.25,90.68,5.13,3324,3560,310,409,7092,6840,3047,3793,RS,Grupo 1
Cambé (PR),496.9,177.70000000000002,313.6445694,72.87,13.15,2.29,12.13,265.45,0.5,54.01,36.18,0.793,82.31,90.55,5.63,36243,47251,3229,5022,76642,88186,81942,6244,PR,Grupo 1
Cambira (PR),166.9,39.9,310.3862742,73.01,12.91,2.03,19.03,206.02,0.52,32.06,36.61,0.767,83.98,83.92,4.76,3133,3706,352,479,6355,6688,4194,2494,PR,Grupo 1
Camboriú (SC),211.9,195.1,64.40052866,70.88,23.46,2.81,9.67,237.33,0.46,64.45,41.29,0.764,69.26,91.47,5.08,10641,19809,1019,1605,23656,41445,39427,2018,SC,Grupo 1
Cambuci (RJ),563.2,26.0,198.9242693,70.54,17.26,2.04,21.03,199.09,0.54,23.68,33.46,0.733,70.13,82.54,4.94,7790,8555,1200,1466,14954,14670,9946,4724,RJ,Grupo 1
Cambuí (MG),243.4,94.3,379.2873729,73.04,20.19,2.14,13.78,256.5,0.5,53.49,38.65,0.786,80.33,88.59,5.25,9473,13074,1199,1754,18211,22969,17683,5286,MG,Grupo 1
Cambuquira (MG),246.4,50.6,265.5148219,74.61,16.35,2.45,16.16,262.87,0.59,36.39,32.44,0.788,77.31,86.35,5.08,6055,6981,886,1117,11508,12538,10023,2515,MG,Grupo 1
Cametá (PA),3122.0,31.2,140.7310496,67.29,36.52,4.75,21.89,71.06,0.61,52.96,58.93,0.671,79.34,83.79,3.79,27664,34835,3952,4798,85187,97624,40417,57207,PA,Grupo 1
Camocim (CE),1157.5,47.9,270.5341328,62.8,60.78,4.25,39.42,99.73,0.66,49.21,55.7,0.629,85.49,64.51,3.23,18829,23189,2285,2973,51035,55448,40684,14764,CE,Grupo 1
Camocim de São Félix (PE),50.8,295.6,102.6504321,64.67,59.51,3.22,49.12,114.54,0.57,49.04,49.83,0.626,75.19,60.19,2.71,6109,7257,1026,1256,13827,15115,11177,3938,PE,Grupo 1
Campanário (MG),442.8,7.7,290.7587559,63.16,53.53,3.08,29.38,133.44,0.56,37.56,45.24,0.668,80.08,76.62,4.18,1348,1627,172,249,3100,3419,2426,993,MG,Grupo 1
Campanha (MG),336.90000000000003,41.8,269.9131931,73.18,19.83,2.38,14.35,278.72,0.56,34.67,34.49,0.784,74.73,87.95,5.53,6263,7539,898,1115,12260,14098,11735,2363,MG,Grupo 1
Campestre (AL),55.5,111.8,92.94090159,61.07,59.52,3.62,45.91,73.04,0.54,50.36,56.14,0.582,75.83,60.66,2.95,3004,2493,321,373,8424,6223,4725,1498,AL,Grupo 1
Campestre (MG),578.7,35.4,317.6470052,72.38,21.91,2.23,12.64,230.23,0.5,40.22,29.64,0.759,65.73,88.04,4.54,8933,11412,1075,1415,17440,20553,10372,10181,MG,Grupo 1
Campestre da Serra (RS),539.0,5.9,138.204198,72.86,15.23,2.23,10.74,243.1,0.47,25.74,31.62,0.782,76.78,90.17,4.46,1488,1892,178,265,2721,3170,1034,2136,RS,Grupo 1
Campestre de Goiás (GO),274.7,11.5,47.72523275,68.45,25.29,2.43,25.92,157.68,0.54,53.26,41.48,0.715,82.52,79.02,3.85,1051,1606,109,151,2316,3167,1988,1179,GO,Grupo 1
Campestre do Maranhão (MA),618.2,18.6,527.9866701,64.07,45.57,4.33,39.26,88.87,0.63,50.4,55.67,0.633,78.52,69.46,2.76,3077,4406,298,415,9138,11521,8591,2930,MA,Grupo 1
Campina da Lagoa (PR),846.1,20.1,367.0070203,64.37,32.91,2.41,21.13,188.27,0.62,48.12,45.22,0.71,84.34,81.71,4.36,8929,8828,990,1177,20506,17018,12692,4326,PR,Grupo 1
Campina das Missões (RS),227.9,30.8,417.7951965,69.39,22.82,2.15,4.47,170.18,0.46,35.26,39.48,0.764,83.95,96.18,5.52,3865,4236,431,627,7372,7014,2275,4739,RS,Grupo 1
Campina do Monte Alegre (SP),184.6,28.1,187.5673778,68.71,20.97,3.15,16.05,203.75,0.51,48.17,35.16,0.742,77.04,87.27,4.5,2006,2677,260,386,4162,5209,4180,1029,SP,Grupo 1
Campina do Simão (PR),445.6,9.8,259.5860614,67.52,24.33,3.09,15.65,129.93,0.57,47.92,49.76,0.701,70.78,86.01,3.7,2156,2018,173,171,5380,4365,1261,3104,PR,Grupo 1
Campina Grande (PB),644.1,549.7,112.972564,63.47,47.76,2.25,19.86,226.09,0.64,48.07,44.36,0.721,87.45,82.88,6.19,142906,177084,18747,23249,321904,355331,337484,17847,PB,Grupo 7
Campina Grande do Sul (PR),541.7,64.8,25.74663801,70.73,17.16,2.96,10.1,212.54,0.5,65.39,46.52,0.761,72.13,92.19,5.29,8156,16228,639,1147,19343,34566,25973,8593,PR,Grupo 1
Campina Verde (MG),3670.1,5.2,579.4281945,74.8,15.91,2.4,14.21,266.26,0.59,57.03,36.84,0.795,79.36,87.96,4.63,10001,10786,1277,1677,20080,19100,13411,5689,MG,Grupo 1
Campinaçu (GO),1981.7,1.9,329.269522,73.21,14.32,2.72,26.21,135.6,0.57,52.05,48.11,0.733,84.76,78.22,3.42,1820,1910,138,195,4483,3707,1882,1825,GO,Grupo 1
Campinas (SP),797.6,1213.5,83.5023372,72.22,14.05,1.78,5.76,614.86,0.58,74.34,50.06,0.852,87.54,95.01,7.87,446983,551896,43748,63368,846737,969396,953218,16178,SP,Grupo 6
Campinas do Piauí (PI),824.6,6.2,303.2143262,62.54,51.23,2.78,41.16,64.56,0.62,57.1,64.03,0.588,72.15,64.23,2.53,2308,2430,309,368,5894,5141,1544,3597,PI,Grupo 1
Campinas do Sul (RS),450.9,18.2,291.1841594,71.29,18.46,2.12,8.82,256.21,0.52,36.54,42.53,0.789,84.53,92.06,5.03,4599,4932,517,715,8554,8258,4431,3827,RS,Grupo 1
Campinápolis (MT),5774.0,2.2,363.939034,63.32,47.43,3.08,27.69,145.54,0.62,70.34,55.48,0.673,74.51,78.97,3.45,4741,5109,385,561,13129,12419,5717,6702,MT,Grupo 1
Campinorte (GO),1072.1,9.0,263.0256318,73.34,14.08,2.25,23.35,167.99,0.56,41.66,40.89,0.75,81.23,81.98,3.98,3461,4895,289,540,8257,9641,7074,2567,GO,Grupo 1
Campo Alegre (AL),296.3,138.5,68.6867813,64.85,44.22,2.61,49.35,66.31,0.52,49.32,54.13,0.595,75.78,59.48,2.41,11938,16165,795,1266,36770,41028,16117,24911,AL,Grupo 1
Campo Alegre (SC),502.0,23.2,171.4301542,71.8,21.01,2.54,8.61,214.69,0.47,47.79,36.2,0.772,74.56,92.99,4.73,4280,5912,509,668,9307,11634,6871,4763,SC,Grupo 1
Campo Alegre de Goiás (GO),2471.2000000000003,1.8,189.2213879,73.22,14.32,2.25,14.87,294.21,0.6,46.77,34.95,0.802,87.36,88.28,4.92,2109,2453,165,266,4536,4528,2871,1657,GO,Grupo 1
Campo Alegre de Lourdes (BA),2766.3,10.0,622.7698486,62.59,51.06,3.27,44.63,62.98,0.63,61.4,65.76,0.58,69.79,62.79,2.15,9159,11149,1131,1530,26125,27607,6539,21068,BA,Grupo 1
Campo Alegre do Fidalgo (PI),805.7,5.5,380.4855988,56.79,76.23,3.03,51.71,51.28,0.65,70.83,71.13,0.529,76.24,55.81,1.28,1727,1846,268,281,4938,4451,410,4041,PI,Grupo 1
Campo Azul (MG),508.2,7.0,379.0435714,67.04,38.39,3.18,32.27,77.91,0.61,65.62,64.63,0.65,76.41,74.2,2.85,1355,1625,149,266,3328,3574,1322,2252,MG,Grupo 1
Campo Belo (MG),531.3,92.5,182.5954462,73.48,19.07,1.99,13.78,243.79,0.53,42.66,32.07,0.776,72.77,88.18,5.24,22772,27706,2904,4082,44527,49187,45592,3595,MG,Grupo 1
Campo Belo do Sul (SC),1023.4,7.7,220.1016064,66.97,35.45,2.37,26.07,154.39,0.54,48.71,45.76,0.694,70.38,80.23,3.81,3432,4094,383,537,7871,8051,4440,3611,SC,Grupo 1
Campo Bom (RS),59.9,901.8,42.87571881,75.91,9.79,2.39,6.27,369.7,0.47,53.66,31.15,0.837,80.58,95.12,6.02,23821,29300,1654,2537,47876,54018,51838,2180,RS,Grupo 1
Campo Bonito (PR),438.2,11.7,376.5145446,67.44,24.55,2.92,28.35,132.05,0.56,50.36,50.22,0.687,71.72,79.16,3.68,2028,2436,168,252,5059,5128,2260,2868,PR,Grupo 1
Campo do Brito (SE),200.8,74.9,50.02578713,69.77,27.54,2.63,39.68,108.92,0.56,53.93,52.75,0.661,73.09,65.81,2.92,5704,7115,891,1130,13420,15175,6916,8259,SE,Grupo 1
Campo do Meio (MG),274.6,41.6,242.0929677,72.25,22.25,3.23,19.09,199.19,0.5,31.17,30.54,0.749,69.58,85.71,4.37,5162,6051,581,821,10883,11436,10039,1397,MG,Grupo 1
Campo do Tenente (PR),306.1,20.7,73.62304343,63.64,35.11,3.54,16.89,148.86,0.53,54.36,43.65,0.687,70.52,86.08,4.34,2139,2880,230,312,5241,6335,3451,2884,PR,Grupo 1
Campo Erê (SC),458.4,22.6,467.8917289,68.1,31.71,3.57,21.8,173.38,0.6,51.11,51.89,0.728,82.8,83.38,4.39,4502,4832,326,570,11062,10353,5756,4597,SC,Grupo 1
Campo Florido (MG),1265.4,4.2,482.6643645,71.28,24.92,2.75,16.01,234.01,0.53,43.72,33.8,0.758,72.78,86.72,4.69,2271,2792,223,318,4519,5328,3140,2188,MG,Grupo 1
Campo Formoso (BA),6833.6,9.1,337.0684761,60.86,57.93,2.89,41.03,91.24,0.66,57.45,60.39,0.613,80.93,66.76,2.81,21986,26002,2606,3174,62104,61942,21003,40939,BA,Grupo 1
Campo Grande (AL),167.1,54.6,120.1978872,63.2,50.57,3.9,62.37,58.51,0.7,70.77,70.81,0.547,71.56,46.97,1.65,3517,3651,452,504,10041,9134,3703,5431,AL,Grupo 1
Campo Grande (MS),8118.400000000001,81.60000000000001,0.0,70.43,24.44,2.09,7.54,394.71,0.61,51.5,38.35,0.814,86.4,94.01,7.26,242621,340072,18952,31986,526126,663621,655914,7707,MS,Grupo 3
Campo Grande do Piauí (PI),342.2,14.3,299.3426421,62.93,49.76,3.46,52.09,62.89,0.55,56.54,60.21,0.57,74.64,54.99,1.79,1256,2255,136,249,3056,4882,1180,3702,PI,Grupo 1
Campo Largo (PR),1254.8,73.9,25.81814151,69.24,20.31,2.5,8.14,267.31,0.5,62.74,43.16,0.774,77.55,93.25,5.51,33414,47478,2941,4342,72523,92782,77223,15559,PR,Grupo 1
Campo Largo do Piauí (PI),436.1,13.2,143.188653,55.8,81.14,4.96,57.56,44.91,0.53,54.31,64.15,0.51,77.96,52.4,2.05,1926,2170,227,290,5474,5743,1044,4699,PI,Grupo 1
Campo Limpo Paulista (SP),80.2,794.4,40.89147758,71.81,14.77,2.68,8.77,325.06,0.53,70.29,53.88,0.805,82.93,93.19,6.1,21117,32560,1679,2836,45387,63724,62260,1464,SP,Grupo 1
Campo Magro (PR),268.8,75.8,19.03244058,67.47,24.47,2.74,11.59,223.68,0.5,63.52,40.0,0.74,70.55,90.3,4.89,4833,9683,336,739,11397,20409,2501,17908,PR,Grupo 1
Campo Maior (PI),1664.4,25.9,75.84017525,67.36,34.57,3.04,34.75,118.89,0.57,48.08,49.84,0.675,82.37,71.35,4.19,18298,21084,2311,3049,44765,43126,31928,11198,PI,Grupo 1
Campo Mourão (PR),768.2,104.7,349.4088729,67.99,23.19,2.27,13.34,283.08,0.57,47.18,39.92,0.774,88.79,89.32,6.15,35537,42276,2869,4489,77930,80476,74754,5722,PR,Grupo 1
Campo Novo (RS),222.9,30.1,362.4141519,68.46,25.13,2.67,14.86,174.66,0.58,44.65,43.84,0.736,82.57,86.06,4.93,3186,3492,370,490,6757,6721,4617,2104,RS,Grupo 1
Campo Novo de Rondônia (RO),3455.9,3.3000000000000003,206.5081307,65.95,31.02,3.37,22.8,212.15,0.69,81.39,66.61,0.697,58.3,82.15,3.18,3214,4657,165,243,8278,11463,3000,8463,RO,Grupo 1
Campo Novo do Parecis (MT),10796.1,1.6,287.760269,69.7,26.21,2.67,11.48,514.43,0.7,77.02,49.9,0.809,77.26,91.33,5.4,6465,8321,297,243,15843,17638,14713,2925,MT,Grupo 1
Campo Redondo (RN),239.4,38.3,118.5887237,65.76,47.18,3.06,43.55,83.5,0.62,67.54,61.93,0.633,81.55,65.42,3.24,4057,4453,816,899,9349,9201,4822,4379,RN,Grupo 1
Campo Verde (MT),4811.7,3.6,99.48352196,72.15,19.82,2.24,11.29,342.01,0.61,46.76,32.01,0.8,78.82,90.72,5.67,2578,7867,106,372,5975,17221,13065,4156,MT,Grupo 1
Campos Altos (MG),721.2,17.8,232.0311521,74.61,16.36,2.46,15.46,250.9,0.53,44.9,32.03,0.786,77.03,87.03,4.72,5033,6393,561,747,11112,12819,11619,1200,MG,Grupo 1
Campos Belos (GO),785.8000000000001,21.7,484.5777315,67.99,26.56,3.36,28.61,147.73,0.61,43.6,47.64,0.708,80.7,79.58,3.93,5476,7339,522,778,14746,17047,14207,2840,GO,Grupo 1
Campos Borges (RS),180.0,21.1,213.3924749,70.33,20.6,2.39,14.57,214.55,0.56,42.04,43.48,0.76,81.9,87.31,4.73,1902,2132,291,335,3868,3785,2031,1754,RS,Grupo 1
Campos de Júlio (MT),6489.5,0.4,378.2049533,73.23,17.3,2.67,7.83,413.17,0.66,76.05,48.94,0.81,64.71,94.99,5.62,738,1340,39,31,1919,2895,1963,932,MT,Grupo 1
Campos do Jordão (SP),290.2,152.4,139.577769,75.73,8.52,2.18,9.42,377.28,0.55,62.2,37.23,0.82,70.64,92.28,5.69,17032,22167,1379,1999,37135,44252,43809,443,SP,Grupo 1
Campos dos Goytacazes (RJ),4037.8,100.6,231.9494839,66.8,25.53,2.24,11.55,247.2,0.58,42.94,38.29,0.752,80.4,89.92,6.17,185491,217908,20337,27927,376290,406989,364177,42812,RJ,Grupo 3
Campos Gerais (MG),771.3000000000001,34.4,245.0097194,72.34,22.02,2.73,19.72,208.97,0.52,45.57,37.65,0.751,68.87,85.26,4.26,10726,13342,1201,1602,23946,26541,17739,8802,MG,Grupo 1
Campos Lindos (TO),3253.6,1.7,290.0726541,60.44,61.58,5.26,35.39,51.4,0.69,71.45,73.8,0.58,71.71,72.2,2.44,1122,1942,123,214,3276,5638,2209,3429,TO,Grupo 1
Campos Novos (SC),1634.7,17.6,264.6434135,73.94,15.88,2.5,11.09,251.45,0.58,61.23,48.38,0.794,82.43,89.6,5.5,12320,14619,1167,1600,26949,28729,22556,6173,SC,Grupo 1
Campos Novos Paulista (SP),485.8,8.6,359.8540619,73.19,12.4,2.36,14.94,205.33,0.54,41.26,38.33,0.761,71.49,86.86,4.65,1948,2307,261,332,4015,4181,2988,1193,SP,Grupo 1
Campos Sales (CE),1093.1,23.3,424.5692968,66.78,44.54,3.37,42.16,123.88,0.69,50.39,55.37,0.655,83.93,61.9,3.11,9596,11735,1598,2040,23282,25566,17135,8431,CE,Grupo 1
Campos Verdes (GO),443.3,18.2,272.4779114,63.33,41.4,2.49,26.32,143.04,0.63,47.36,49.12,0.694,93.98,79.18,3.92,6133,3769,203,305,16648,8057,7214,843,GO,Grupo 1
