Município,Área (km²),"Densidade demográfica, 2000",Distância à capital (km),"Esperança de vida ao nascer, 2000","Mortalidade até um ano de idade, 2000","Taxa de fecundidade total, 2000","Percentual de pessoas de 25 anos ou mais analfabetas, 2000","Renda per Capita, 2000","Índice de Gini, 2000","Intensidade da indigência, 2000","Intensidade da pobreza, 2000","Índice de Desenvolvimento Humano Municipal, 2000","Taxa bruta de freqüência à escola, 2000","Taxa de alfabetização, 2000","Média de anos de estudo das pessoas de 25 anos ou mais de idade, 2000","População de 25 anos ou mais de idade, 1991","População de 25 anos ou mais de idade, 2000","População de 65 anos ou mais de idade, 1991","População de 65 anos ou mais de idade, 2000","População total, 1991","População total, 2000","População urbana, 2000","População rural, 2000",Estado,Grupo
Nova Belém (MG),149.3,30.1,342.6548063,64.47,48.07,3.01,34.36,136.66,0.66,56.11,56.73,0.648,63.7,71.87,2.83,2083,1985,148,169,5611,4495,914,3581,MG,Grupo 1
Nova Boa Vista (RS),96.1,23.1,283.2231575,76.49,8.88,2.08,3.84,211.57,0.41,19.67,28.84,0.815,82.53,96.82,5.25,1513,1434,216,248,2575,2222,533,1689,RS,Grupo 1
Nova Brasilândia (MT),3560.8,1.6,140.498241,70.97,22.79,2.61,32.88,149.55,0.58,58.79,48.46,0.71,78.25,74.03,3.54,2730,2620,205,299,7270,5786,4074,1712,MT,Grupo 1
Nova Brasilândia d'Oeste (RO),1159.9,14.7,373.2382882,64.58,35.16,3.02,20.86,157.66,0.56,58.52,50.26,0.689,69.16,83.7,3.87,5859,7507,342,673,15798,17067,6424,10643,RO,Grupo 1
Nova Bréscia (RS),200.9,22.6,119.264223,75.56,10.38,2.02,6.21,329.38,0.53,24.38,33.82,0.822,79.37,92.84,4.89,2988,2921,456,562,5096,4564,1486,3078,RS,Grupo 1
Nova Campina (SP),386.2,18.9,239.1546696,65.27,29.34,3.45,16.42,158.83,0.61,51.5,46.22,0.709,77.58,86.58,3.88,2084,3145,203,274,5219,7295,3878,3417,SP,Grupo 1
Nova Canaã (BA),568.6,28.6,268.3057259,61.76,54.27,2.9,43.81,81.77,0.52,40.76,49.47,0.596,76.2,62.06,2.37,8186,7255,1176,1202,19412,15366,5973,9393,BA,Grupo 1
Nova Canaã do Norte (MT),5993.0,1.9,560.039329,64.74,42.07,2.95,21.77,201.18,0.61,44.72,43.37,0.702,69.7,83.2,3.5,4221,5560,194,504,10344,11516,4903,6613,MT,Grupo 1
Nova Canaã Paulista (SP),124.4,20.0,566.4955288,69.8,18.64,1.97,23.58,174.45,0.49,41.93,33.72,0.726,77.33,80.68,3.71,1491,1534,169,272,2755,2483,822,1661,SP,Grupo 1
Nova Candelária (RS),98.4,29.3,388.7140934,75.48,10.5,2.18,5.0,216.36,0.44,28.62,36.61,0.808,82.24,95.78,4.63,1745,1734,236,231,3379,2883,267,2616,RS,Grupo 1
Nova Cantu (PR),586.5,16.9,342.2304242,64.37,32.91,2.54,24.16,154.02,0.63,42.64,47.93,0.698,85.44,80.84,3.78,4665,4843,418,560,11260,9914,3916,5998,PR,Grupo 1
Nova Castilho (SP),184.3,5.4,491.1911004,72.09,14.28,1.94,15.59,171.03,0.53,56.54,41.61,0.761,86.35,86.99,4.51,536,584,52,80,1034,991,486,505,SP,Grupo 1
Nova Colinas (MA),804.0,4.8,553.6012597,62.01,53.3,3.97,35.79,53.66,0.71,72.01,74.2,0.594,74.41,71.87,2.74,1141,1421,103,130,3390,3904,1637,2267,MA,Grupo 1
Nova Crixás (GO),7325.3,1.5,308.87415,64.52,37.23,2.77,28.16,189.12,0.6,56.37,42.09,0.686,71.46,76.81,3.36,4295,5243,242,412,11102,11061,7048,4013,GO,Grupo 1
Nova Cruz (RN),283.40000000000003,119.4,79.86234603,65.1,49.72,3.04,47.3,84.17,0.62,60.26,57.78,0.617,80.52,60.11,3.27,12254,15145,2265,2598,30053,33834,21634,12200,RN,Grupo 1
Nova Era (MG),364.3,48.7,96.27563354,73.62,18.74,2.2,11.99,217.53,0.56,41.15,41.07,0.792,87.88,90.42,5.55,7974,8941,778,1106,17605,17754,15325,2429,MG,Grupo 1
Nova Erechim (SC),63.0,55.5,437.2453693,72.75,18.64,2.41,9.71,318.05,0.55,47.69,41.22,0.81,85.64,91.84,5.19,1507,1923,141,224,3114,3543,1720,1823,SC,Grupo 1
Nova Esperança (PR),402.5,63.9,387.7110714,66.75,26.28,2.17,15.22,253.69,0.52,44.07,31.32,0.748,77.97,88.5,5.34,11946,14261,1439,1938,24189,25729,21785,3944,PR,Grupo 1
Nova Esperança do Piriá (PA),2889.7000000000003,6.5,193.2298017,66.05,40.93,5.73,48.02,85.75,0.64,61.36,61.7,0.598,59.14,59.71,2.02,4901,5994,505,276,14923,18893,5255,13638,PA,Grupo 1
Nova Esperança do Sudoeste (PR),202.9,25.9,403.1305804,66.11,27.96,2.88,17.37,187.22,0.56,36.73,41.79,0.722,79.04,85.91,3.95,2305,2666,228,300,5393,5258,1224,4034,PR,Grupo 1
